company_name,trade,city,state,county,aka,phone,address,license_number,license_source,license_count
"INCON-TROL CONSTRUCTION, LLC",Electrical,MC KINNEY,TX,COLLIN,,2147338828,410 INTERCHANGE ST,37647,TDLR,1
"B&D EXCAVATING OF TEXAS, LLC",Electrical,CLEVELAND,TX,LIBERTY,,2812164115,24959 HIGHWAY 321,37648,TDLR,1
"HOMESMART EXPERTS, LLC",Electrical,KINGSLAND,TX,LLANO,,3253889278,2634 W RR 1431,37649,TDLR,1
AMPS2WATTS ELECTRICAL LLC,Electrical,HOUSTON,TX,HARRIS,,8324071746,11034 HEATHER BLUFF LN,37651,TDLR,1
BTX ELECTRICAL LLC,Electrical,EULESS,TX,TARRANT,,8173018480,11332 MOSIER VALLEY RD,37652,TDLR,1
"LTD ELECTRIC, LLC",Electrical,GATESVILLE,TX,CORYELL,,2542230923,308 GERONIMO LN,37653,TDLR,1
PRIDE ELECTRICAL SOLUTIONS LLC,Electrical,PARIS,TX,LAMAR,,9032044125,3415 RENO DR,37654,TDLR,1
"MCF TEKS, INC",Electrical,LAREDO,TX,WEBB,,9564363122,1908 ORANGE BLOSSOM DR,37655,TDLR,1
BB ELECTRICAL CONTRACTORS,Electrical,MAGNOLIA,TX,MONTGOMERY,,8323586733,31518 WALNUT CREEK RD,37656,TDLR,1
THE TURNER COMPANY LLC,Electrical,HEARNE,TX,ROBERTSON,,9795712227,204 N MARKET ST,37657,TDLR,1
ELTX ELECTRIC LLC,Electrical,DEL RIO,TX,VAL VERDE,,8307348237,212 FRAUSTO ST,37660,TDLR,1
J7 ELECTRIC LLC,Electrical,QUINLAN,TX,HUNT,,9032685838,2684 PRIVATE ROAD 2282,37661,TDLR,1
JMBH ELECTRICAL CONTRACTORS LLC,Electrical,GRAND PRAIRIE,TX,DALLAS,,2148933083,2009 RUEA ST,37662,TDLR,1
SMILEY ELECTRIC LLC.,Electrical,TEMPLE,TX,BELL,,2549312980,4903 S PEA RIDGE RD,37664,TDLR,1
INTEGRITY SOLAR USA LLC,Electrical,SUNSET,TX,MONTAGUE,,9408414103,196 SILVER LAKES DR,37666,TDLR,1
R R ELECTRICAL LLC,Electrical,KERMIT,TX,WINKLER,,4329345486,117 JACKSON ST,37667,TDLR,1
G-FORCE & ASSOCIATES INC,Electrical,TOLAR,TX,HOOD,,8175733960,5200 W US HIGHWAY 377,37669,TDLR,1
SUPERB ELECTRIC LLC,Electrical,HOUSTON,TX,HARRIS,,8322608678,5800 CORPORATE DR,37671,TDLR,1
FERREIRA POWER SOUTH LLC,Electrical,HALTOM CITY,TX,TARRANT,,4697887118,2822 N BEACH ST,37672,TDLR,1
903 ELECTRIC LLC,Electrical,DEPORT,TX,LAMAR,,9032498291,1036 FM 1501,37675,TDLR,1
"SOLAR BROS ELECTRIC, LLC",Electrical,FORT WORTH,TX,TARRANT,,9723227233,6707 BRENTWOOD STAIR RD,37677,TDLR,1
JM ELECTRICAL SERVICES,Electrical,WEATHERFORD,TX,PARKER; WILLIAMSON,,8173047296,405 S BRAZOS STREET,37678,TDLR,2
USARM ELECTRICAL SERVICES LLC,Electrical,CEDAR CREEK,TX,BASTROP,,3237177019,417 MOUNT OLIVE RD,37682,TDLR,1
RRE ELECTRIC,Electrical,WOLFFORTH,TX,LUBBOCK,,8062184304,702 E 19TH,37683,TDLR,1
CROSSROAD ENERGY SOLUTIONS INC,Electrical,SAN ANTONIO,TX,BEXAR,,7138266644,115 W RHAPSODY DR,37684,TDLR,1
"V POWER ELECTRIC, LLC",Electrical,GARLAND,TX,DALLAS,,2147772487,1826 HEMLOCK DR,37685,TDLR,1
"BULLET EV CHARGING SOLUTIONS, LLC",Electrical,AUSTIN,TX,TRAVIS,,8322563290,111 CONGRESS AVE STE 500,37686,TDLR,1
LITTLE ELECTRIC LLC,Electrical,OVALO,TX,TAYLOR,,3259985510,262 FM 382,37688,TDLR,1
TRIP ELECTRIC LLC,Electrical,RICHLAND HILLS,TX,TARRANT,,8173005022,7238 VIVIAN LN,37689,TDLR,1
GV ELECTRICAL SERVICES LLC,Electrical,BARTLETT,TX,BELL,,2549317551,1340 W CLARK ST,37691,TDLR,1
CORTECH ELECTRIC,Electrical,DEL RIO,TX,VAL VERDE,,8307340027,108 MESA DR,37693,TDLR,1
REYNOLDS ELECTRICAL SERVICES VENTURE INC,Electrical,DAYTON,TX,LIBERTY,,2816593158,242 COUNTY ROAD 2311,37696,TDLR,1
DARIO'S ELECTRIC LLC,Electrical,DEL VALLE,TX,TRAVIS,,5173630264,5221 MATHRA DR,37697,TDLR,1
CR MEYER AND SONS COMPANY,Electrical,,TX,OUT OF STATE,,9202353350,895 W 20TH AVE,37698,TDLR,1
ENTERO AUTOMATION LLC,Electrical,EL PASO,TX,EL PASO,,9152526101,3501 LYMAN LN,37699,TDLR,1
LICKETY SPLIT ELECTRICAL& COMMUNICATIONS,Electrical,SEMINOLE,TX,GAINES,,4322093579,131 COUNTY ROAD 110,37701,TDLR,1
WALLACE POWER CONTROLS & ELECTRICAL LLC,Electrical,CLEVELAND,TX,LIBERTY,,8324572828,2639 COUNTY ROAD 2184,37706,TDLR,1
LAMB ELECTRICAL SOLUTIONS LLC,Electrical,SAN ANTONIO,TX,BEXAR,,2108628796,702 RICHLAND HILLS DR,37707,TDLR,1
ORIUS LLC,Electrical,SAN ANTONIO,TX,BEXAR,,6317785855,2800 NORTHEAST INTERSTATE 410,37709,TDLR,1
STILLWATER ELECTRIC LLC,Electrical,BURLESON,TX,JOHNSON,,8178803960,716 CROCKETT DR,37712,TDLR,1
FLAIR ELECTRIC LLC,Electrical,ARLINGTON,TX,TARRANT,,2142050097,1114 GEORGETOWN ST,37713,TDLR,1
CNG ELECTRICAL SERVICES,Electrical,HOUSTON,TX,HARRIS,,7138065560,5523 HAVENWOODS DR,37716,TDLR,1
FRANK ROMERO ELECTRICAL SERVICES,Electrical,ODESSA,TX,ECTOR,,4322154546,7407 RED CANYON RD,37717,TDLR,1
ENVIROSPARK ENERGY SOLUTIONS INC,Electrical,,TX,OUT OF STATE,,3362156727,1389 CHATTAHOOCHEE AVE NW,37720,TDLR,1
M-FORCE ELECTRIC,Electrical,FORT WORTH,TX,TARRANT,,8177512282,702 HOUSTON ST,37721,TDLR,1
VELECTRIC LLC,Electrical,AUSTIN,TX,TRAVIS,,5126596350,16400 ROCKY RIDGE RD,37722,TDLR,1
FTS ELECTRIC LLC,Electrical,RICHARDSON,TX,DALLAS,,9726199978,224 W CAMPBELL RD #432,37723,TDLR,1
METROPRO CONSTRUCTION GROUP INC,Electrical,NEVADA,TX,COLLIN,,4694411989,5969 COUNTY ROAD 488,37725,TDLR,1
MIKE RAWLINS ELECTRICAL SERVICES LLC,Electrical,MIDLAND,TX,MIDLAND,,4322791235,4419 TANFORAN AVE,37726,TDLR,1
PRM ENTERPRISES LLC,Electrical,TYLER,TX,SMITH,,9032832722,1114 W 4TH ST,37727,TDLR,1
ALTEX POWER SYSTEMS AND CONTROLS LLC,Electrical,DECATUR,TX,WISE,,9409230827,2488 N FM 51,37729,TDLR,1
BIG ANT ELECTRICAL LLC,Electrical,HOUSTON,TX,HARRIS,,8326315229,16735 SUMMER DAWN LN,37731,TDLR,1
BLUE ION ELECTRIC LLC,Electrical,HOUSTON,TX,HARRIS,,6824381529,12922 PECAN SHORES DR,37734,TDLR,1
TRA ELECTRIC LLC,Electrical,BASTROP,TX,BASTROP,,5124098958,PO BOX 418,37736,TDLR,1
ALDENTE CONST & REMODLING LLC,Electrical,CONROE,TX,MONTGOMERY,,8324413554,11563 MOCKINGBIRD HL,37738,TDLR,1
1 SOLAR SOLUTION LLC,Electrical,FRISCO,TX,DENTON; DALLAS,WALKER ELECTRIC SERVICE GROUP LLC,9725717616,5000 ELDORADO PKWY ST  150 274,37740,TDLR,2
"JIREH POWER ELECTRIC, LLC",Electrical,CORPUS CHRISTI,TX,NUECES,,3612833661,606 TULIP ST,37741,TDLR,1
SW3 ELECTRICAL CONTRACTING LLC.,Electrical,MILLSAP,TX,PARKER,,8173714062,5301 LAZY BEND RD,37742,TDLR,1
ALL AMERICAN ELECTRIC LLC,Electrical,CYPRESS,TX,HARRIS,,7139993531,8619 AUSTIN THOMAS DR,37743,TDLR,1
SHORTER ELECTRIC LLC,Electrical,DALLAS,TX,DALLAS,,4692603805,7732 BANTRY LN,37744,TDLR,1
"ELITE S ELECTRIC, LLC",Electrical,BROWNSVILLE,TX,CAMERON,,9564043800,1949 OLD PORT ISABEL RD APT A1,37745,TDLR,1
SHALE ELECTRIC AND AUTOMATION,Electrical,,TX,OUT OF STATE,,7013004567,319 GOLDEN MDWS,37746,TDLR,1
PSEG LLC,Electrical,HASLET,TX,TARRANT,,8176309919,1150 BLUE MOUND RD W #101,37751,TDLR,1
HARDWIRE ELECTRIC LLC,Electrical,RICHARDSON,TX,DALLAS,,4699759489,2177 BUCKINGHAM RD  306,37752,TDLR,1
BEST SOLAR HOMES LLC,Electrical,BUDA,TX,HAYS,,5126211552,1220 SATTERWHITE RD,37753,TDLR,1
LARK ELECTRIC LLC,Electrical,BROWNWOOD,TX,BROWN,,3258006712,1510 MAIN BLVD,37754,TDLR,1
TERRAPIN ELECTRIC,Electrical,AUSTIN,TX,TRAVIS,,5126654857,1514 ED BLUESTEIN BLVD,37755,TDLR,1
MB ELECTRICAL,Electrical,DAYTON,TX,LIBERTY,,8326595187,63 COUNTY ROAD 48822,37756,TDLR,1
EAGLE-J ELECTRIC LLC,Electrical,FORT WORTH,TX,TARRANT,,8176764914,2901 BIWAY ST,37757,TDLR,1
GOLDENBROOK ELECTRIC LLC,Electrical,KATY,TX,FORT BEND,,8323598285,10219 WHITE PINES DR,37759,TDLR,1
WHITE TAIL AUTOMATION INC,Electrical,FORT WORTH,TX,TARRANT,,8886001340,2100 N MAIN ST STE 211,37760,TDLR,1
PREMIER ELECTRICAL SYSTEMS LLC,Electrical,,TX,OUT OF STATE,,3372746527,306 EAST BURTON STREET,37761,TDLR,1
TRUE POWER ELECTRIC LLC,Electrical,MELISSA,TX,COLLIN,,8178180677,3415 WALNUT LN,37764,TDLR,1
DTS ELECTRIC,Electrical,CEDAR PARK,TX,WILLIAMSON,,5129851615,1418 NANDINA DR,37767,TDLR,1
BRANDT-BLACKMON ECS,Electrical,KATY,TX,FORT BEND,,2815074444,751 CAROLINA ST STE 100,37769,TDLR,1
JT ELECTRICAL SERVICES & CONTRACTING LLC,Electrical,KILLEEN,TX,BELL,,2542134880,4212 FAWN DR,37770,TDLR,1
VOIGHT'S ELECTRICAL CO LLC,Electrical,WEST,TX,MCLENNAN,,2542425951,705 N DAVIS ST,37771,TDLR,1
MAGIC LIGHT HOUSE LLC,Electrical,EL PASO,TX,EL PASO,,9154499774,7519 N LOOP DR,37774,TDLR,1
MWTM ELECTRICAL CONTRACTING LLC,Electrical,MINERAL WELLS,TX,PALO PINTO,,8173608978,1901 NW 6TH AVE,37775,TDLR,1
TRUE TEXAN ELECTRIC LLC,Electrical,BUCHANAN DAM,TX,LLANO,,8303170667,408 LEHNE LOOP,37776,TDLR,1
POWER ON ELECTRIC LLC,Electrical,HUNTINGTON,TX,ANGELINA,,9367077726,6842 FM 2109,37777,TDLR,1
ARNOLD ELECTRIC OF ARKADELPHIA LLC,Electrical,,TX,OUT OF STATE,,8702458697,56 GRAVETT RD,37780,TDLR,1
"CONTINENTAL ELECTRIC CONSTRUCTION, LLC",Electrical,LUBBOCK,TX,LUBBOCK,,8067628867,2224 BROADWAY,37783,TDLR,1
TRICOAST ELECTRICAL SERVICES LLC,Electrical,LEAGUE CITY,TX,GALVESTON,,2818306743,2403 APACHE ST,37785,TDLR,1
L3 ELECTRIC INC,Electrical,,TX,OUT OF STATE,,9499220223,26081 MERIT CIR STE 122,37786,TDLR,1
ALAMON INC,Electrical,CARROLLTON,TX,DALLAS,,4067528838,1421 CHAMPION DR STE 332,37787,TDLR,1
CURRENT POWER GROUP LLC,Electrical,SAN ANTONIO,TX,BEXAR,,2107051948,10002 VANDENBERG WAY,37788,TDLR,1
KOZELKA ELECTRIC,Electrical,LIVE OAK,TX,BEXAR,,2107998821,13703 ALTAMIRANO,37789,TDLR,1
MT ELECTRIC SERVICE T.D.N LLC,Electrical,DALLAS,TX,DALLAS,,4697737140,2633 ROYAL LN,37791,TDLR,1
WES ELECTRIC LLC,Electrical,,TX,OUT OF STATE,,3373155122,801 BREAUX RD,37793,TDLR,1
COPPERHEAD ELECTRICAL SERVICES LLC,Electrical,AUSTIN,TX,TRAVIS,,5124660223,12801 BRAHMIN DR,37794,TDLR,1
GUILD ELECTRIC & TELECOM INC,Electrical,DALLAS,TX,DALLAS,,2142759288,8441 ENDICOTT LN,37795,TDLR,1
PATRIOT SERVICES ELECTRIC LLC,Electrical,KATY,TX,FORT BEND,,7139009140,6819 HIGHWAY BLVD #550,37798,TDLR,1
SMOTHERMON ELECTRIC & GENERAL CONTRACTIN,Electrical,AMARILLO,TX,RANDALL,,8065676307,9603 KORI DRIVE,37801,TDLR,1
BOOMERANG ELECTRIC LLC,Electrical,WOLFFORTH,TX,LUBBOCK,,8067871052,203 TIGER ST,37802,TDLR,1
GREATER TEXAS ELECTRIC LLC,Electrical,NEW CANEY,TX,MONTGOMERY,,2815139181,18035 FM 1485 RD,37803,TDLR,1
JK ELECTRICAL AND DATA SOLUTIONS LLC,Electrical,SPRING,TX,HARRIS,,2817570681,7407 WILSON REACH LN,37804,TDLR,1
QE ELECTRICAL SERVICES LLC,Electrical,,TX,OUT OF STATE,,8882870207,16 SOUTH AVE W PMB 207,37806,TDLR,1
MYR ENERGY SERVICES INC,Electrical,,TX,OUT OF STATE,,3032277008,12121 GRANT ST,37807,TDLR,1
ROCKBAR SOLUTIONS LLC,Electrical,SAINT JO,TX,MONTAGUE,,9403903295,3558 TALLEY RD,37808,TDLR,1
BUDDYS TOTAL ELECTRIC LLC,Electrical,HOUSTON,TX,HARRIS,,8323108667,11214 CAMPHORWOOD DR,37809,TDLR,1
NATHAN MYERS DBA ELITE ELECTRIC,Electrical,WACO,TX,MCLENNAN,,2543408777,10486 CHAPEL RD,37811,TDLR,1
TKO ELECTRICAL HVAC AND PLUMBING LLC,Electrical,,TX,OUT OF STATE,,7207727598,9034 E EASTER PL STE 203,37812,TDLR,1
DUKE INDUSTRIAL GROUP LLC,Electrical,,TX,,,3375252125,810 E FOURTH ST,37815,TDLR,1
BP&L SERVICES LLC,Electrical,ODESSA,TX,MIDLAND,,4324442227,12605 W COUNTY ROAD 100,37816,TDLR,1
THE 3RD ELECTRICAL CONTRACTOR INC,Electrical,HOUSTON,TX,HARRIS,,8324061200,2823 BLUE GLEN LN,37817,TDLR,1
AMPED BROS LLC,Electrical,MIDLAND,TX,MIDLAND,,9152068812,1020 E COUNTY ROAD 140,37819,TDLR,1
WML ELECTRIC,Electrical,HURST,TX,TARRANT,,8172719671,428 BROOKVIEW DR,37820,TDLR,1
SOUTHWEST COMMERCIAL ELECTRIC INC,Electrical,,TX,OUT OF STATE,,4696193753,1001 S EDWARD DR,37824,TDLR,1
PROTON ELECTRIC,Electrical,LARUE,TX,HENDERSON,,9032620482,16886 COUNTY ROAD 4343,37827,TDLR,1
TEXAS INDEPENDENCE ELECTRIC LLC,Electrical,TEXAS CITY,TX,GALVESTON,,2816504737,4807 FM 646 RD E STE F,37830,TDLR,1
ATX SOLAR LLC,Electrical,HUTTO,TX,WILLIAMSON,,5128039652,3333 COUNTY ROAD 119 STE 111,37831,TDLR,1
HOT ELECTRICAL SUPPLIES,Electrical,CLEBURNE,TX,JOHNSON,,8179331981,2524 COUNTY ROAD 314B,37832,TDLR,1
PELICAN ELECTRIC-CC LLC,Electrical,CORPUS CHRISTI,TX,NUECES,,3614457789,5701 CURTIS CLARK DR STE 1,37833,TDLR,1
NEW CONNECTION ELECTRIC,Electrical,HOUSTON,TX,HARRIS,,8329860188,2310 HEATHERGOLD DR,37834,TDLR,1
LAKE SERVICES INC,Electrical,AUSTIN,TX,TRAVIS,,5122613625,109 RR 620 N,37836,TDLR,1
EXCEL CONSTRUCTION GROUP,Electrical,HALTOM CITY,TX,TARRANT,,8174377536,4850 NE LOOP 820,37838,TDLR,1
TAURUS ELECTRICAL,Electrical,AUSTIN,TX,TRAVIS,,5178020026,11804 YARBROUGH DR,37839,TDLR,1
VECA ELECTRIC & TECHNOLOGIES LLC,Electrical,,TX,OUT OF STATE,,2064365200,5614 7TH AVE S,37841,TDLR,1
BEENE ELECTRICAL SERVICES LLC,Electrical,SEGUIN,TX,GUADALUPE,,9037331869,108 DOUBLE CREEK LOOP,37842,TDLR,1
JEFCO ELECTRICAL SERVICES LLC,Electrical,MCKINNEY,TX,COLLIN,,4695791031,301 MAPLESHADE DR,37843,TDLR,1
JOHNNY B DAVIS INC,Electrical,AMARILLO,TX,RANDALL,,8068777998,8821 GREYHAWK RD,37844,TDLR,1
4N SERVICES AND POWER,Electrical,NORTH RICHLAND HILLS,TX,TARRANT,,8179915276,5005 SUSAN LEE LN,37847,TDLR,1
TRANSFORMED-ELECTRIC,Electrical,BLUFF DALE,TX,ERATH,,8177714529,1645 BEACON LAKE DR,37849,TDLR,1
VG ELECTRICAL LLC,Electrical,HOUSTON,TX,HARRIS,,8329060235,6431 HARCOURT BRIDGE DR,37851,TDLR,1
UB ELECTRICAL,Electrical,SANTA FE,TX,GALVESTON,,4095997703,11814 16TH ST,37852,TDLR,1
XPRT ELECTRICAL CONTRACTOR LLC,Electrical,SAN ELIZARIO,TX,EL PASO,,9158203715,12860 PERICO DR,37853,TDLR,1
AC/GC ELECTRIC,Electrical,BURLESON,TX,JOHNSON,,6826673226,409 ARNOLD AVENUE,37854,TDLR,1
ALWAYS BRIGHT ELECTRIC LLC,Electrical,SPRING,TX,HARRIS,,2819392200,10800 GOSLING RD #133066,37856,TDLR,1
ADEAL ELECTRICAL,Electrical,SAN ANTONIO,TX,BEXAR,,9792367632,12435 CAPROCK RNCH,37857,TDLR,1
MVC ELECTRICAL LLC,Electrical,GARLAND,TX,DALLAS,,2146098691,1318 OLD MILL RUN,37858,TDLR,1
FRAUSTO ELECTRIC LLC,Electrical,HEREFORD,TX,DEAF SMITH,,8064201607,425 STAR ST,37859,TDLR,1
CONVOLUTION ELECTRIC LLC,Electrical,DALLAS,TX,DALLAS,,4693369310,1226 CALDWELL ST,37860,TDLR,1
PREMIER BUILDING AND ELECTRICAL INC,Electrical,,TX,OUT OF STATE,,7067454176,195 OLD FARMSTEAD LN,37861,TDLR,1
WILSON FACILITY SOLUTIONS LLC,Electrical,SPRING,TX,HARRIS,,8555444889,22820 INTERSTATE 45,37863,TDLR,1
REVELATION ELECTRICAL SERVICES LLC,Electrical,ROCKWALL,TX,ROCKWALL,,2147382559,6 CANYON RIDGE DR,37864,TDLR,1
SG CONSTRUCTION GROUP LLC,Electrical,,TX,OUT OF STATE,,2702501064,17255 W 10 MILE RD,37866,TDLR,1
MILES ELECTRIC SERVICE LLC,Electrical,FREEPORT,TX,BRAZORIA,,9793419210,906 W 5TH ST,37868,TDLR,1
GOLD STAR ELECTRIC LLC,Electrical,PHARR,TX,HIDALGO,,3462109612,125 JACOBO,37870,TDLR,1
ARC POWER SERVICES LLC,Electrical,MIDLAND,TX,MIDLAND,,4326975856,3206 S COUNTY ROAD 1206,37871,TDLR,1
BAYOU ELECTRICAL SERVICES,Electrical,,TX,OUT OF STATE,,5043222634,1843 PETERS RD,37872,TDLR,1
REACTANCE ELECTRICAL SERVICES LLC,Electrical,ELGIN,TX,BASTROP,,5126532929,19108 ROMANO DR,37873,TDLR,1
TEXAS CURRENT SOLUTIONS LLC,Electrical,HOUSTON,TX,HARRIS,,2819002313,18210 SPRUCE CREEK DR,37874,TDLR,1
GREER ELECTRICAL SERVICES INC,Electrical,,TX,OUT OF STATE,,8703244190,1314 WALLAIN ST,37875,TDLR,1
LUXURY ENERGY SOLAR LLC,Electrical,HOUSTON,TX,HARRIS,,2814177593,3611 HOLLYBROOK LN,37877,TDLR,1
ACIS SYSTEMS,Electrical,PEARLAND,TX,BRAZORIA,,7139270436,7901 MCHARD RD,37878,TDLR,1
EGNITE ELECTRIC LLC,Electrical,CARROLTON,TX,DALLAS,,8178972580,1750 BRIERCROFT CT STE 400,37879,TDLR,1
BE THE LIGHT ELECTRICAL SERVICE,Electrical,UVALDE,TX,UVALDE,,8309004068,711 W GARDEN ST,37880,TDLR,1
STAR DESIGN ELECTRIC CO,Electrical,MURPHY,TX,COLLIN,,9545911954,704 SUGAR VALLEY RD,37881,TDLR,1
STREAMLINE INDUSTRIAL GROUP LLC,Electrical,THE WOODLANDS,TX,MONTGOMERY,,2816916543,25211 GROGANS MILL RD STE 110,37882,TDLR,1
ISHAM ELECTRIC LP,Electrical,SAN SABA,TX,SAN SABA,,3253723761,107 N HARWOOD ST,37884,TDLR,1
SPEAR C&I LLC,Electrical,NEW BRAUNFELS,TX,COMAL,,5126765831,521 RIVER CITY DR,37885,TDLR,1
GEMSTONE ELECTRIC LLC,Electrical,KERRVILLE,TX,KERR,,8308901879,329 SURBER ST,37887,TDLR,1
NAVTECH ELECTRIC,Electrical,PURDON,TX,NAVARRO,,4694284988,413 N BROWN ST,37888,TDLR,1
THIRD GENERATION ELECTRICAL INC,Electrical,,TX,OUT OF STATE,,9184466626,8620 S 33RD WEST AVE,37890,TDLR,1
TINGLEY ELECTRIC,Electrical,PARADISE,TX,WISE,,8176807201,1599 FM 3259,37892,TDLR,1
TEXAS QUANTUM ELECTRIC INC,Electrical,BROWNSVILLE,TX,CAMERON,"PRADO ELECTRIC, INC",9562410962,222 N EXPRESSWAY STE 119,37894,TDLR,2
A-ZTEX LLC,Electrical,LEAGUE CITY,TX,GALVESTON,,8322604841,2545 KILDEER CT,37896,TDLR,1
"ELGIN POWER SOLUTIONS, INC",Electrical,,TX,OUT OF STATE,,6304799305,214 INDUSTRIAL PARK RD,37897,TDLR,1
D&D ELECTRIC SOLUTIONS LLC,Electrical,TOMBALL,TX,HARRIS,,8329201996,STE 2E,37900,TDLR,1
AMERICAN SOUTHWEST ELECTRIC,Electrical,,TX,OUT OF STATE,,7026432900,4485 RIVIERA RIDGE AVE,37903,TDLR,1
ALLEN STEPHENS ELECTRIC,Electrical,LAMPASAS,TX,LAMPASAS,,2107012025,4120 N US HIGHWAY 281,37904,TDLR,1
LANG ELECTRIC LLC,Electrical,BURLESON,TX,JOHNSON,,8179171521,2709 RIVER PATH CT,37905,TDLR,1
BENEDICTUS LLC,Electrical,BENBROOK,TX,TARRANT,,4105995725,15 LEGEND RD,37906,TDLR,1
GJJ ELECTRICAL SERVICES LLC,Electrical,FORT WORTH,TX,TARRANT,,2148155214,11709 CORIANDER CT,37908,TDLR,1
JDR ELECTRICAL SERVICES LLC,Electrical,SAN MARCOS,TX,HAYS,,7372139745,943 ADLER WAY,37909,TDLR,1
E&E ELECTRICAL SERVICES LLC,Electrical,HOUSTON,TX,HARRIS,,8327275110,8003 DEVON LEE CT,37912,TDLR,1
ZUZ ELECTRIC,Electrical,RIO GRANDE,TX,STARR,,2816697259,14 COCHE GUERRA,37913,TDLR,1
GRIFFIN ELECTRICAL GROUP LLC,Electrical,DESOTO,TX,DALLAS,,5047103555,1204 HERON CT,37914,TDLR,1
MOONLIGHT ELECTRICAL SERVICES LLC,Electrical,TEMPLE,TX,BELL,,2544476935,10620 W HWY 36,37916,TDLR,1
ECHO ENERGY SYSTEM LLC,Electrical,AMARILLO,TX,POTTER,,8063825176,5205 SLOPE DR,37917,TDLR,1
ROUTT ONE INDUSTRIES LLC,Electrical,MANOR,TX,TRAVIS,,5122944015,11604 AMERICAN MUSTANG LOOP,37919,TDLR,1
LEGACY ELECTRIC & HVAC LLC,Electrical,BRYAN,TX,BRAZOS,,9794462525,6093 TOBY BND,37920,TDLR,1
ADDISON ELECTRIC LLC,Electrical,ELGIN,TX,BASTROP,,5129393959,314 INSIDER LOOP,37922,TDLR,1
"GREGORY ELECTRIC COMPANY, INC",Electrical,,TX,OUT OF STATE,,8037481122,7111 MONTICELLO ROAD,37923,TDLR,1
CORNERSTONE ELECTRICAL SERVICES LLC,Electrical,ROUND ROCK,TX,WILLIAMSON,,9156679372,2452 HAT BENDER LOOP,37924,TDLR,1
LONESTAR LIGHTING AND ELECTRICAL,Electrical,MAGNOLIA,TX,MONTGOMERY,,3462253751,10410 SERENITY SOUND,37925,TDLR,1
CENTEX SUPERIOR SERVICES,Electrical,BELTON,TX,BELL,,2544930577,1813 DANCING OAKS CT,37927,TDLR,1
NORTHERN LIGHTS ELECTRIC LLC,Electrical,DANBURY,TX,BRAZORIA,,2818507845,2002 AVENUE K,37929,TDLR,1
ESQUIVEL ELECTRICAL & LIGHTING LLC,Electrical,SAN ANTONIO,TX,BEXAR,,2107083954,5819 ESPADA BND,37930,TDLR,1
POWER SOLUTIONS SPECIALIST LLC,Electrical,TOMBALL,TX,HARRIS,,8324480478,215 S PERSIMMON ST,37931,TDLR,1
WEAVER ELECTRIC INCORPORATED,Electrical,,TX,OUT OF STATE,,2282657740,8289 CANAL ROAD,37933,TDLR,1
POWERMEANS ELECTRICAL CONTRACTING INC,Electrical,AUSTIN,TX,TRAVIS,,7372635823,12507 PAULS VALLEY RD BLDG 3B,37937,TDLR,1
JG BOLTZ ELECTRICAL SERVICE,Electrical,DEER PARK DR,TX,HARRIS,,8325330708,2213 NECHES DR,37939,TDLR,1
KAT ELECTRICAL SERVICES LLC,Electrical,CLEBURNE,TX,JOHNSON,,8179334341,4228 US 67 STE 200,37940,TDLR,1
"JWH ELECTRIC, LLC",Electrical,LAVON,TX,COLLIN,,2147085013,300 BRAVES WAY,37943,TDLR,1
MANORLY ELECTRIC LLC,Electrical,DALLAS,TX,DALLAS,,2144632462,12240 INWOOD RD STE 300,37944,TDLR,1
BELL ELECTRICAL CONSTRUCTION LLC,Electrical,WILLIS,TX,MONTGOMERY,,9365889586,12411 ARIES LOOP S,37945,TDLR,1
DIAMOND R ELECTRIC SERVICE,Electrical,SPRINGTOWN,TX,PARKER,,6822775904,1051 JUSTIN DR,37946,TDLR,1
MONTOYA'S ELECTRICAL LLC,Electrical,AUBREY,TX,DENTON,,2149399265,10335 QUAIL POINTE ROAD,37947,TDLR,1
"HERNANDEZ CLEANING & RESTORATION, LLC",Electrical,ROCKWALL,TX,ROCKWALL,,2142708034,517 KYSER SPRING RD,37949,TDLR,1
KEEN ELECTRIC SERVICE INC,Electrical,BRECKENRIDGE,TX,STEPHENS,,2545592474,811 E WALKER ST,37950,TDLR,1
GRAYWOLF INTEGRATED CONSTR CO SE INC,Electrical,,TX,OUT OF STATE,,7706144690,3550 FRANCIS CIR,37951,TDLR,1
PROSPER ELECTRIC LLC,Electrical,BALCH SPRINGS,TX,DALLAS,,2149241559,104 VENA RD,37952,TDLR,1
INPHAZE ELECTRIC,Electrical,HOUSTON,TX,HARRIS,,8324836725,9507 CHAPELSTONE CT,37956,TDLR,1
NEXGEN ELECTRICAL SOLUTIONS,Electrical,SAN ANTONIO,TX,BEXAR,,2102862838,11103 WEST AVE STE 2101,37958,TDLR,1
AAW ELECTRIC LLC,Electrical,FARMERS BRANCH,TX,DALLAS,,4698787873,2644 SQUIRE PL,37960,TDLR,1
ZAPS ELECTRICAL SERVICES LLC,Electrical,ATHENS,TX,HENDERSON,,9038045710,5233 FM 317,37961,TDLR,1
CAPITAL ELECTRIC SOLUTIONS LLC,Electrical,AUSTIN,TX,TRAVIS,,7372030847,5302 TWO IRON ST APT B,37962,TDLR,1
CHRISTIAN POWER SERVICES LLC,Electrical,MONTGOMERY,TX,MONTGOMERY,,7138555080,1818 KING RICHARDS COURT,37963,TDLR,1
